district,match_km,date,dfo_cause,dfo_severity,local_rain_mm,upstream_rain_mm,discharge_m3s,soil_moisture,model_probability,model_level,would_have_flagged
মৌলভীবাজার,20.3,1985-06-03,Heavy rain,2,17.3,12.3,0,0.427,70.4,বিপদ,True
পিরোজপুর,4.5,1985-07-03,Heavy rain,1,6.2,1.4,0,0.406,39.3,সাবধান,False
মাদারীপুর,6.4,1985-07-21,Heavy rain,1,4.7,4.1,0,0.409,21.4,নিরাপদ,False
সিরাজগঞ্জ,28.6,1985-09-27,Heavy Rain,1,12.8,2.2,0,0.47,11.2,নিরাপদ,False
কুমিল্লা,29.4,1989-07-03,Monsoonal rain,1,12.3,7.8,0,0.455,29.5,নিরাপদ,False
মৌলভীবাজার,13.0,1989-07-06,Heavy rain,1,17.1,16.9,0,0.427,75,বিপদ,True
মৌলভীবাজার,26.4,1989-08-01,Monsoonal rain,1,4.9,7.3,0,0.419,79.6,বিপদ,True
কক্সবাজার,18.9,1990-03-03,Heavy rain,1,29.6,3.0,0,0.328,75,বিপদ,True
কুমিল্লা,20.1,1990-03-24,Heavy rain,1,108.7,70.7,0,0.452,49.9,সাবধান,False
শেরপুর,28.6,1990-04-22,Heavy rain,1,0.4,10.8,0,0.349,35,সাবধান,False
পাবনা,14.4,1990-07-14,Heavy rain,1,4.1,3.1,0,0.401,19.8,নিরাপদ,False
বরিশাল,14.5,1990-08-25,Monsoonal rain,1,19.9,15.2,0,0.419,41.5,সাবধান,False
টাঙ্গাইল,12.8,1990-09-26,Heavy rain,1,10.5,9.9,0,0.409,29.6,নিরাপদ,False
টাঙ্গাইল,24.6,1990-10-10,Torrential rain,1,0.7,26.4,0,0.398,28.8,নিরাপদ,False
গাজীপুর,29.0,1990-10-14,Heavy rain,1,0.0,0.0,0,0.464,10,নিরাপদ,False
ভোলা,14.3,1990-10-26,Torrential rain,1,0.0,0.0,0,0.173,20.1,নিরাপদ,False
সুনামগঞ্জ,24.2,1991-04-08,Torrential rain,1,2.2,5.4,0,0.446,35,সাবধান,False
বান্দরবান,3.9,1991-04-29,Tropical cyclone,1,13.0,6.4,0,0.233,55,সতর্ক,True
মৌলভীবাজার,30.1,1991-05-14,Heavy rain,1,31.4,13.5,0,0.426,75,বিপদ,True
ফেনী,8.2,1991-06-17,Monsoonal rain,1,31.7,14.4,0,0.444,58.6,সতর্ক,True
পাবনা,12.3,1991-07-04,Heavy rain,1,43.9,16.1,0,0.425,38.7,সাবধান,False
রাজবাড়ী,14.7,1991-07-10,Heavy rain,1,3.8,5.4,0,0.414,36.4,সাবধান,False
টাঙ্গাইল,16.0,1991-07-14,Heavy rain,1,3.3,7.9,0,0.384,29.7,নিরাপদ,False
বান্দরবান,35.8,1991-08-02,Heavy rain,1,18.5,31.2,0,0.428,75,বিপদ,True
ময়মনসিংহ,23.9,1991-08-09,Heavy rain,1,3.9,1.7,0,0.409,14.3,নিরাপদ,False
শেরপুর,26.6,1991-09-11,Monsoonal rain,1,17.7,4.8,0,0.416,55,সতর্ক,True
বগুড়া,24.1,1991-09-28,"Dam/Levy, break or release",1,2.4,1.4,0,0.399,18.1,নিরাপদ,False
বান্দরবান,14.5,1992-06-25,Monsoonal rain,1,95.1,22.4,0,0.43,95,বিপদ,True
সিলেট,23.6,1993-06-04,Monsoonal rain,1,37.2,19.4,0,0.425,75,বিপদ,True
রাঙ্গামাটি,24.8,1994-02-26,Heavy rain,1,0.0,0.0,0,0.154,33.3,সাবধান,False
মানিকগঞ্জ,22.3,1994-03-29,Heavy rain,1,5.7,0.1,0,0.39,15.7,নিরাপদ,False
রাঙ্গামাটি,17.9,1994-04-19,Tropical cyclone,1,24.7,1.5,0,0.281,55,সতর্ক,True
