district,river,current_lat,current_lon,current_discharge,best_lat,best_lon,best_discharge,improved
ঢাকা,বুড়িগঙ্গা,23.68,90.38,330.13,23.58,90.48,996.7,True
চট্টগ্রাম,কর্ণফুলী,22.32,91.83,1182.04,22.22,91.78,1204.04,False
গাজীপুর,তুরাগ,24.07,90.22,162.68,23.97,90.27,211.32,False
নারায়ণগঞ্জ,শীতলক্ষ্যা,23.63,90.5,35.48,23.53,90.5,8911.51,True
লালমনিরহাট,তিস্তা,25.99,89.28,1.94,25.89,89.33,2059.63,True
নীলফামারী,তিস্তা,25.92,88.96,49.0,25.92,89.06,2040.74,True
কুড়িগ্রাম,ব্রহ্মপুত্র,25.55,89.68,30337.9,25.65,89.68,30407.84,False
কুমিল্লা,গোমতী,23.43,91.2,6.06,23.48,91.1,143.54,True
ফেনী,মুহুরী,23.13,91.43,78.07,23.03,91.43,94.72,False
পঞ্চগড়,করতোয়া,26.33,88.56,3.83,26.23,88.61,148.97,True
ব্রাহ্মণবাড়িয়া,তিতাস,23.96,91.11,4.64,24.06,91.01,7497.94,True
সুনামগঞ্জ,সুরমা,25.07,91.4,1326.39,25.02,91.3,1484.94,False
সিলেট,সুরমা,24.88,91.85,19.94,24.98,91.75,585.14,True
হবিগঞ্জ,খোয়াই,24.53,91.3,40.3,24.53,91.2,3205.27,True
মৌলভীবাজার,মনু,24.42,91.85,3.86,24.47,91.75,185.64,True
নেত্রকোণা,কংস,24.98,90.68,609.94,24.88,90.78,635.8,False
শেরপুর,ভুগাই,25.1,90.18,2.52,25.0,90.23,132.97,True
খাগড়াছড়ি,চেঙ্গী,23.12,91.98,2.13,23.02,91.98,95.38,True
রাঙ্গামাটি,কর্ণফুলী,22.66,92.17,539.75,22.56,92.12,711.85,False
বান্দরবান,সাঙ্গু,22.2,92.2,206.49,22.15,92.1,212.3,False
কক্সবাজার,মাতামুহুরী,21.78,92.07,161.55,21.73,91.97,179.3,False
ভোলা,মেঘনা,22.64,90.74,0.7,22.54,90.79,69023.02,True
পটুয়াখালী,পায়রা,22.36,90.33,6.64,22.36,90.23,55.62,True
বরগুনা,বিষখালী,22.16,90.12,2.14,22.16,90.02,107.14,True
নোয়াখালী,মেঘনা,22.87,91.1,3.11,22.97,91.2,45.88,True
সাতক্ষীরা,ইছামতী,22.6,89.15,79.17,22.6,89.25,135.14,False
বাগেরহাট,পশুর,22.49,89.6,1.69,22.39,89.55,487.65,True
খুলনা,রূপসা,22.83,89.53,385.37,22.73,89.48,453.99,False
পিরোজপুর,বলেশ্বর,22.58,89.97,330.13,22.48,89.92,359.58,False
ঝালকাঠি,বিষখালী,22.64,90.2,19.18,22.54,90.2,44.08,False
লক্ষ্মীপুর,মেঘনা,22.94,90.84,11.25,22.84,90.94,23.1,False
সিরাজগঞ্জ,যমুনা,24.45,89.72,32582.67,24.35,89.72,32582.67,False
বগুড়া,করতোয়া,24.8,89.42,7.11,24.9,89.52,32283.93,True
জামালপুর,যমুনা,25.14,89.6,32283.93,25.19,89.6,32358.38,False
গাইবান্ধা,ব্রহ্মপুত্র,25.38,89.55,22.33,25.28,89.6,32432.97,True
রাজবাড়ী,পদ্মা,23.71,89.74,1.99,23.71,89.84,58343.49,True
মানিকগঞ্জ,যমুনা,23.9,89.83,5.41,23.8,89.78,58343.49,True
মুন্সিগঞ্জ,পদ্মা,23.53,90.36,15.22,23.43,90.26,58612.83,True
চাঁদপুর,মেঘনা,23.23,90.65,188.67,23.13,90.55,68232.89,True
ফরিদপুর,কুমার,23.6,89.83,17.79,23.65,89.93,58343.49,True
শরীয়তপুর,পদ্মা,23.27,90.35,2.24,23.32,90.45,58747.94,True
মাদারীপুর,আড়িয়াল খাঁ,23.16,90.19,9.72,23.26,90.09,25.36,False
টাঙ্গাইল,যমুনা,24.03,89.87,10.53,24.13,89.97,14.81,False
পাবনা,যমুনা,24.07,89.67,3.83,23.97,89.62,33805.47,True
নাটোর,গুড়,24.47,89.15,804.38,24.37,89.25,938.72,False
রাজশাহী,পদ্মা,24.35,88.56,2.47,24.25,88.66,24377.11,True
চাঁপাইনবাবগঞ্জ,পদ্মা,24.68,88.15,0.87,24.58,88.1,23658.2,True
ঠাকুরগাঁও,টাঙ্গন,26.03,88.47,2.64,25.93,88.37,59.67,True
দিনাজপুর,পুনর্ভবা,25.63,88.64,4.85,25.53,88.74,294.12,True
জয়পুরহাট,তুলসীগঙ্গা,24.973,89.043,43.06,24.873,88.943,154.96,True
নওগাঁ,আত্রাই,24.71,88.75,1.45,24.61,88.85,649.13,True
কুষ্টিয়া,গড়াই,23.85,89.25,9.96,23.9,89.15,24377.11,True
মেহেরপুর,ভৈরব,23.76,88.63,1.89,23.66,88.63,49.0,True
চুয়াডাঙ্গা,মাথাভাঙা,23.64,88.84,1.94,23.54,88.74,121.74,True
ঝিনাইদহ,নবগঙ্গা,23.548099,89.176001,29.2,23.6481,89.276,82.56,False
মাগুরা,গড়াই,23.5,89.42,87.31,23.4,89.42,164.58,False
নড়াইল,মধুমতী,23.17,89.51,1.53,23.07,89.46,178.06,True
যশোর,কোবাদক,23.1,89.1,2.0,23.0,89.0,64.61,True
গোপালগঞ্জ,মধুমতী,23.05,89.79,2.25,22.95,89.74,162.68,True
বরিশাল,কীর্তনখোলা,22.72,90.35,2.05,22.72,90.45,29.34,True
নরসিংদী,মেঘনা,23.93,90.72,51.48,23.83,90.67,7797.3,True
কিশোরগঞ্জ,উজানের মেঘনা,24.05,90.98,4.41,23.95,90.88,7515.23,True
ময়মনসিংহ,পুরাতন ব্রহ্মপুত্র,24.9,90.47,3.03,25.0,90.57,581.1,True
রংপুর,তিস্তা,25.78,89.47,2.83,25.68,89.47,2088.3,True
