district,river,category,osm_used,osm_points_found,current_lat,current_lon,current_discharge,best_lat,best_lon,best_discharge,in_range_found
ঢাকা,বুড়িগঙ্গা,small_or_tidal,False,0,23.58,90.48,1022.29,23.63,90.48,554.9,True
চট্টগ্রাম,কর্ণফুলী,medium,False,0,22.22,91.78,1198.5,22.22,91.78,1198.5,True
গাজীপুর,তুরাগ,small_or_tidal,False,0,23.97,90.27,219.8,23.87,90.27,224.94,True
নারায়ণগঞ্জ,শীতলক্ষ্যা,small_or_tidal,False,0,23.53,90.5,8870.56,23.58,90.45,464.59,True
লালমনিরহাট,তিস্তা,large_regional,False,0,25.89,89.33,2107.63,25.79,89.38,2127.14,True
নীলফামারী,তিস্তা,large_regional,False,0,25.92,89.06,2093.11,25.87,89.16,2102.78,True
কুড়িগ্রাম,ব্রহ্মপুত্র,mega_trunk,False,0,25.65,89.68,32507.74,25.6,89.68,32507.74,True
কুমিল্লা,গোমতী,medium,False,0,23.48,91.1,144.21,23.58,91.0,152.46,True
ফেনী,মুহুরী,medium,False,0,23.03,91.43,95.61,22.93,91.43,275.69,True
পঞ্চগড়,করতোয়া,medium,False,0,26.23,88.61,150.71,26.13,88.71,173.58,True
ব্রাহ্মণবাড়িয়া,তিতাস,medium,False,0,24.06,91.01,7463.49,24.01,90.91,7480.7,True
সুনামগঞ্জ,সুরমা,large_regional,False,0,25.02,91.3,1481.52,24.97,91.2,1519.55,True
সিলেট,সুরমা,large_regional,False,0,24.98,91.75,582.45,25.03,91.65,1195.74,True
হবিগঞ্জ,খোয়াই,medium,False,0,24.53,91.2,3220.07,24.43,91.1,3227.49,True
মৌলভীবাজার,মনু,medium,False,0,24.47,91.75,186.07,24.57,91.7,3132.29,True
নেত্রকোণা,কংস,medium,False,0,24.88,90.78,629.96,24.78,90.88,646.14,True
শেরপুর,ভুগাই,medium,False,0,25.0,90.23,132.66,25.0,90.33,145.22,True
খাগড়াছড়ি,চেঙ্গী,medium,False,0,23.02,91.98,96.95,22.92,92.03,113.02,True
